country,year,solar_electricity,solar_share_elec,solar_energy_per_capita,renewables_electricity,renewables_share_elec,population,gdp
Argentina,2000,0.0,0.0,0.003,29.0,32.592,37213986.0,536480965694.0
Argentina,2001,0.0,0.0,0.003,36.99,41.036,37624817.0,514867255248.0
Argentina,2002,0.0,0.0,0.003,36.38,43.007,38029345.0,460558541367.0
Argentina,2003,0.0,0.0,0.005,34.76,37.754,38424283.0,503104157615.0
Argentina,2004,0.0,0.0,0.005,31.4,31.319,38815915.0,550306327169.0
Argentina,2005,0.0,0.0,0.006,35.21,33.296,39216786.0,601050418142.0
Argentina,2006,0.0,0.0,0.006,39.14,34.506,39622113.0,652296814311.0
Argentina,2007,0.0,0.0,0.007,32.35,28.497,40016767.0,714725198062.0
Argentina,2008,0.0,0.0,0.009,32.45,26.618,40424151.0,747157417513.0
Argentina,2009,0.0,0.0,0.005,35.85,29.308,40854832.0,705920838368.0
Argentina,2010,0.0,0.0,0.005,34.77,27.595,41288694.0,785785170150.0
Argentina,2011,0.0,0.0,0.1,32.61,25.183,41730655.0,837742673804.0
Argentina,2012,0.01,0.007,0.5,30.99,22.783,42161718.0,829147409948.0
Argentina,2013,0.02,0.014,0.905,34.77,24.934,42582453.0,849088398588.0
Argentina,2014,0.02,0.014,0.943,34.54,24.931,43024071.0,827750786191.0
Argentina,2015,0.01,0.007,0.855,34.43,23.676,43477011.0,850356641236.0
Argentina,2016,0.01,0.007,0.817,31.49,21.396,43900312.0,832669278245.0
Argentina,2017,0.02,0.014,0.927,33.68,23.13,44288898.0,856142153676.0
Argentina,2018,0.11,0.075,6.024,35.22,23.995,44654876.0,833736983405.0
Argentina,2019,0.8,0.573,44.014,34.78,24.927,44973469.0,817053926667.0
Argentina,2020,1.34,0.926,73.451,36.62,25.318,45191960.0,735814250460.0
Argentina,2021,2.2,1.437,119.728,37.04,24.185,45312282.0,812324184006.0
Argentina,2022,2.94,2.019,159.086,42.27,29.03,45407904.0,854914363923.0
Argentina,2023,3.28,2.208,175.641,51.65,34.767,45538402.0,
Argentina,2024,3.97,2.603,211.651,52.44,34.385,45696153.0,
Argentina,2025,5.14,3.356,,52.96,34.58,45851379.0,
Australia,2000,0.05,0.023,6.787,17.54,8.089,19132472.0,692059312020.0
Australia,2001,0.05,0.022,7.724,17.26,7.696,19365438.0,713890072308.0
Australia,2002,0.06,0.027,8.151,17.95,8.032,19595356.0,747065694937.0
Australia,2003,0.06,0.027,8.689,18.66,8.258,19819449.0,774450991263.0
Australia,2004,0.07,0.031,9.862,19.38,8.454,20046679.0,809792445090.0
Australia,2005,0.08,0.035,11.133,20.72,8.98,20294490.0,840092380696.0
Australia,2006,0.1,0.042,12.661,21.14,8.883,20590566.0,866678665246.0
Australia,2007,0.11,0.045,14.437,20.29,8.343,20954545.0,911250727265.0
Australia,2008,0.14,0.057,17.186,19.12,7.792,21370595.0,937889628737.0
Australia,2009,0.29,0.116,34.972,20.16,8.067,21783014.0,963129933389.0
Australia,2010,0.98,0.39,114.985,22.16,8.83,22141583.0,993853968687.0
Australia,2011,2.04,0.796,235.623,30.61,11.944,22479779.0,1024000293343.0
Australia,2012,2.41,0.961,272.025,30.27,12.076,22852648.0,1062662906305.0
Australia,2013,3.85,1.543,423.471,35.53,14.237,23236271.0,1086068056518.0
Australia,2014,4.95,1.999,534.019,32.76,13.228,23595599.0,1113888062929.0
Australia,2015,6.2,2.441,654.955,35.8,14.095,23947997.0,1139303344945.0
Australia,2016,7.44,2.881,768.308,41.74,16.164,24329963.0,1169967279612.0
Australia,2017,8.92,3.444,901.454,39.19,15.133,24731044.0,1197832839959.0
Australia,2018,12.33,4.695,1221.226,49.49,18.844,25119700.0,1231576952488.0
Australia,2019,18.3,6.882,1777.226,55.26,20.782,25482714.0,1255505542015.0
Australia,2020,23.84,8.991,2286.976,64.28,24.243,25743787.0,1232259790388.0
Australia,2021,31.19,11.662,2960.04,77.27,28.891,25956417.0,1296705194119.0
Australia,2022,37.54,13.755,3520.705,87.44,32.039,26200987.0,1344251444393.0
Australia,2023,44.99,16.473,4148.871,95.07,34.81,26451126.0,
Australia,2024,50.21,17.828,4584.596,98.79,35.077,26713206.0,
Australia,2025,56.09,19.589,,110.58,38.618,26974024.0,
Brazil,2000,0.0,0.0,0.0,312.26,89.491,174018278.0,1739728033832.0
Brazil,2001,0.0,0.0,0.0,276.93,84.289,176301201.0,1785513006345.0
Brazil,2002,0.0,0.0,0.0,296.42,85.74,178503485.0,1861742323845.0
Brazil,2003,0.0,0.0,0.0,317.62,87.165,180622688.0,1904932706436.0
Brazil,2004,0.0,0.0,0.0,333.38,86.036,182675144.0,2038447931287.0
Brazil,2005,0.0,0.0,0.0,351.19,87.129,184688101.0,2129214530430.0
Brazil,2006,0.0,0.0,0.0,363.89,86.754,186653099.0,2240805319046.0
Brazil,2007,0.0,0.0,0.0,392.74,88.226,188552311.0,2405626901513.0
Brazil,2008,0.0,0.0,0.0,390.53,84.315,190367297.0,2559842659987.0
Brazil,2009,0.0,0.0,0.0,415.11,89.047,192079958.0,2589568436235.0
Brazil,2010,0.0,0.0,0.0,437.41,84.802,193701931.0,2820492538862.0
Brazil,2011,0.0,0.0,0.0,463.66,87.193,195284736.0,2968455007203.0
Brazil,2012,0.0,0.0,0.021,456.16,82.563,196876113.0,3025484250011.0
Brazil,2013,0.0,0.0,0.062,438.54,76.825,198478290.0,3116394665745.0
Brazil,2014,0.02,0.003,0.205,432.75,73.279,200085126.0,3132099937531.0
Brazil,2015,0.06,0.01,0.74,431.31,74.208,201675534.0,3021043246476.0
Brazil,2016,0.09,0.016,1.054,465.82,80.468,203218108.0,2922076150345.0
Brazil,2017,0.83,0.141,10.159,467.02,79.247,204703440.0,2960731613785.0
Brazil,2018,3.46,0.575,41.777,495.29,82.358,206107265.0,3013541086239.0
Brazil,2019,6.65,1.05,79.399,515.44,81.386,207455459.0,3050327159562.0
Brazil,2020,10.75,1.71,127.188,522.92,83.167,208660845.0,2950377451264.0
Brazil,2021,16.75,2.552,196.906,507.87,77.372,209550291.0,3097565215045.0
Brazil,2022,30.13,4.449,351.966,593.89,87.703,210306411.0,3187412907763.0
Brazil,2023,50.63,7.15,584.894,630.19,88.995,211140731.0,
Brazil,2024,71.32,9.564,820.533,651.26,87.333,211998565.0,
Brazil,2025,88.64,11.81,,649.97,86.601,212812397.0,
Canada,2000,0.02,0.003,1.477,365.96,60.607,30891800.0,1137681278760.0
Canada,2001,0.02,0.003,1.733,341.54,58.109,31213578.0,1161459919261.0
Canada,2002,0.02,0.003,1.975,359.75,59.979,31535579.0,1199865635264.0
Canada,2003,0.02,0.003,1.95,346.27,58.862,31836483.0,1224575760991.0
Canada,2004,0.01,0.002,1.203,349.15,58.338,32132680.0,1265917327101.0
Canada,2005,0.02,0.003,1.409,372.71,60.066,32440172.0,1310077836124.0
Canada,2006,0.02,0.003,1.714,364.32,59.879,32759174.0,1348293394113.0
Canada,2007,0.03,0.005,2.09,379.65,59.864,33092171.0,1379925831954.0
Canada,2008,0.04,0.006,2.761,389.3,61.296,33449088.0,1397938727409.0
Canada,2009,0.11,0.018,8.458,384.38,62.616,33826370.0,1360538049277.0
Canada,2010,0.26,0.043,19.461,370.67,61.063,34196900.0,1406355361431.0
Canada,2011,0.57,0.089,42.862,396.69,62.151,34555449.0,1454221365109.0
Canada,2012,0.88,0.138,65.005,403.37,63.369,34922513.0,1479829523672.0
Canada,2013,1.5,0.229,108.625,415.48,63.365,35293421.0,1514296485427.0
Canada,2014,2.12,0.325,151.397,407.24,62.367,35634265.0,1557757464897.0
Canada,2015,2.89,0.437,203.797,422.04,63.841,35962236.0,1568025782105.0
Canada,2016,3.01,0.451,207.694,430.73,64.565,36353345.0,1583727974022.0
Canada,2017,3.31,0.495,224.751,440.56,65.819,36808498.0,1631871440185.0
Canada,2018,3.49,0.528,232.91,433.39,65.546,37294996.0,1677189073139.0
Canada,2019,3.75,0.572,245.837,428.71,65.382,37782934.0,1708858221312.0
Canada,2020,4.07,0.621,263.378,436.79,66.595,38171903.0,1622144486274.0
Canada,2021,5.11,0.783,327.57,435.39,66.737,38454058.0,1703443269914.0
Canada,2022,5.74,0.864,363.119,452.47,68.135,38821259.0,1761295624423.0
Canada,2023,8.4,1.31,521.168,419.45,65.397,39299098.0,
Canada,2024,9.42,1.479,577.898,409.28,64.272,39742429.0,
Canada,2025,10.17,1.559,,416.91,63.9,40126728.0,
Chile,2000,0.0,0.0,0.0,20.49,49.83,15503638.0,233340518904.0
Chile,2001,0.0,0.0,0.0,22.87,54.041,15683852.0,239642803054.0
Chile,2002,0.0,0.0,0.0,23.99,55.226,15857926.0,243288829547.0
Chile,2003,0.0,0.0,0.0,23.28,49.925,16024755.0,250723122339.0
Chile,2004,0.0,0.0,0.0,23.8,46.667,16187324.0,264146071325.0
Chile,2005,0.0,0.0,0.0,28.02,53.658,16348780.0,278000705012.0
Chile,2006,0.0,0.0,0.0,30.28,55.015,16509195.0,293258343549.0
Chile,2007,0.0,0.0,0.0,25.61,43.943,16671571.0,305709457316.0
Chile,2008,0.0,0.0,0.0,27.07,45.526,16838987.0,314032357531.0
Chile,2009,0.0,0.0,0.0,29.39,48.683,17009730.0,306660166266.0
Chile,2010,0.0,0.0,0.0,24.22,40.199,17181463.0,321457401232.0
Chile,2011,0.0,0.0,0.0,25.95,39.528,17351810.0,338708860136.0
Chile,2012,0.0,0.0,0.05,25.24,36.28,17519116.0,359556383692.0
Chile,2013,0.01,0.014,0.977,26.0,35.695,17687006.0,371454072393.0
Chile,2014,0.48,0.684,65.338,30.06,42.839,17864192.0,378114271615.0
Chile,2015,1.24,1.655,190.789,32.36,43.199,18047630.0,386251266445.0
Chile,2016,2.59,3.286,350.776,33.81,42.89,18267225.0,393022253885.0
Chile,2017,3.84,4.865,524.81,34.37,43.545,18558868.0,398359518680.0
Chile,2018,5.12,6.262,673.954,37.5,45.866,18893185.0,414254051745.0
Chile,2019,6.3,7.502,812.315,38.81,46.213,19197748.0,417331966568.0
Chile,2020,7.53,9.009,970.649,40.49,48.445,19370621.0,391686945225.0
Chile,2021,10.56,11.986,1360.911,43.07,48.888,19456323.0,437659188270.0
Chile,2022,15.71,17.256,1974.556,50.37,55.327,19553033.0,448338105532.0
Chile,2023,17.94,20.105,2287.516,56.34,63.14,19658833.0,
Chile,2024,20.19,22.783,2548.917,62.07,70.041,19764774.0,
Chile,2025,22.18,25.062,,58.74,66.373,19859919.0,
China,2000,0.02,0.001,0.048,225.56,16.639,1269581174.0,5952682232028.0
China,2001,0.03,0.002,0.067,280.73,18.958,1278725061.0,6329737256820.0
China,2002,0.05,0.003,0.102,291.41,17.618,1286866835.0,6814493895929.0
China,2003,0.06,0.003,0.135,287.28,15.036,1294517323.0,7248623080792.0
China,2004,0.08,0.004,0.158,357.43,16.222,1302100316.0,7830953177799.0
China,2005,0.08,0.003,0.172,404.37,16.173,1310027135.0,8602939667333.0
China,2006,0.09,0.003,0.193,446.72,15.588,1318054030.0,9489543138489.0
China,2007,0.11,0.003,0.229,500.71,15.258,1325813576.0,10358206113742.0
China,2008,0.15,0.004,0.301,665.08,19.025,1333821011.0,10799148337884.0
China,2009,0.28,0.008,0.545,664.39,17.886,1342522717.0,11572544299171.0
China,2010,0.7,0.017,1.351,786.38,18.691,1351561505.0,12858808500983.0
China,2011,2.61,0.055,4.971,792.38,16.813,1360250658.0,13691526496125.0
China,2012,3.59,0.072,6.765,999.56,20.041,1369520866.0,14773157494771.0
China,2013,8.37,0.154,15.53,1093.37,20.13,1379008040.0,15925464549520.0
China,2014,23.51,0.406,43.105,1289.23,22.249,1387951970.0,17103948867278.0
China,2015,39.48,0.679,71.591,1393.66,23.968,1396134171.0,18301224436466.0
China,2016,66.53,1.085,119.052,1522.79,24.829,1404052628.0,19545709173693.0
China,2017,117.8,1.784,208.517,1667.06,25.242,1412354730.0,20894362082435.0
China,2018,176.9,2.469,310.111,1835.39,25.612,1419008954.0,22294284747546.0
